id,value,deathSeason,deathEpisode,dead,appearances
 .Sandor Clegane.Lem.Ray,650,6,7,1,1
 .Sandor Clegane.Lem.Riverland Villagers,0,6,7,1,1
 .Sandor Clegane.Lowell,491,4,1,1,1
 .Sandor Clegane.Morgan,552,6,8,1,2
 .Sandor Clegane.Mycah,574,1,2,1,1
 .Sandor Clegane.Riddell,669,6,8,1,1
 .Sandor Clegane.Steve,756,6,8,1,1
 .Sandor Clegane.Unnamed Baratheon men,0,2,9,1,1
 .Sandor Clegane.Unnamed Frey men,0,3,10,1,1
 .Sandor Clegane.Unnamed Lannister men,0,4,1,1,1
 .Sandor Clegane.Unnamed outlaw,0,6,8,1,2
 .Sandor Clegane.Unnamed rioters,0,2,6,1,1
 .Sandor Clegane.Wights,0,7,6,1,1
 .Sansa Stark,752,0,0,0,47
 .Sansa Stark.Ramsay Bolton,88,6,9,1,20
 .Sansa Stark.Ramsay Bolton.Adrack Humble,371,4,8,1,1
 .Sansa Stark.Ramsay Bolton.Adrack Humble.Ralf Kenning,416,4,8,1,1
 .Sansa Stark.Ramsay Bolton.Aggar,3,2,10,1,1
 .Sansa Stark.Ramsay Bolton.Baratheon soldier,38,5,10,1,1
 .Sansa Stark.Ramsay Bolton.Dagmer,171,2,10,1,5
 .Sansa Stark.Ramsay Bolton.Dagmer.Billy,68,2,7,1,1
 .Sansa Stark.Ramsay Bolton.Dagmer.Jack,381,2,7,1,1
 .Sansa Stark.Ramsay Bolton.Dagmer.Winterfell shepherd,939,2,7,1,2
 .Sansa Stark.Ramsay Bolton.Gelmarr,291,2,10,1,1
 .Sansa Stark.Ramsay Bolton.Lorren,489,2,10,1,4
 .Sansa Stark.Ramsay Bolton.Master Torturer,528,3,3,1,2
 .Sansa Stark.Ramsay Bolton.Newborn Bolton,81,6,2,1,1
 .Sansa Stark.Ramsay Bolton.Old woman,605,5,7,1,3
 .Sansa Stark.Ramsay Bolton.Osha,617,6,4,1,16
 .Sansa Stark.Ramsay Bolton.Osha.Drennan,197,2,6,1,2
 .Sansa Stark.Ramsay Bolton.Osha.Luwin,497,2,10,1,14
 .Sansa Stark.Ramsay Bolton.Rickon Stark,749,6,9,1,14
 .Sansa Stark.Ramsay Bolton.Roose Bolton,82,6,2,1,19
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark,750,3,9,1,22
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Karstark lookout,401,3,5,1,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Rickard Karstark,412,3,5,1,6
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Rickard Karstark.Martyn Lannister,457,3,5,1,2
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Rickard Karstark.Willem Lannister,464,3,5,1,2
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Unnamed Karstark men,0,3,5,1,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Unnamed wildling,0,1,6,1,1
 .Sansa Stark.Ramsay Bolton.Roose Bolton.Robb Stark.Wallen,903,1,6,1,1
 .Sansa Stark.Ramsay Bolton.Stygg,766,2,10,1,1
 .Sansa Stark.Ramsay Bolton.Tansy,776,4,2,1,1
 .Sansa Stark.Ramsay Bolton.Unnamed Baratheon soldier,0,5,10,1,1
 .Sansa Stark.Ramsay Bolton.Unnamed Bolton men,0,3,3,1,1
 .Sansa Stark.Ramsay Bolton.Unnamed Greyjoy men,0,4,6,1,1
 .Sansa Stark.Ramsay Bolton.Urzen,890,2,10,1,1
 .Sansa Stark.Ramsay Bolton.Violet,897,5,6,1,1
 .Sansa Stark.Ramsay Bolton.Walda Bolton,90,6,2,1,5
 .Sansa Stark.Ramsay Bolton.Wex,909,2,10,1,1
 .Sansa Stark.Ramsay Bolton.Wun Weg Wun Dar Wun,944,6,9,1,5
 .Sansa Stark.Ramsay Bolton.Wun Weg Wun Dar Wun.Unnamed Bolton men,0,6,9,1,1
 .Sansa Stark.Ramsay Bolton.Wun Weg Wun Dar Wun.Unnamed Night's Watch,0,6,2,1,1
 .Sansa Stark.Ramsay Bolton.Wun Weg Wun Dar Wun.Wights,0,5,8,1,1
 .Selyse Baratheon,51,5,10,1,11
 .Sons of the Harpy,0,0,0,0,1
 .Sons of the Harpy.Barristan Selmy,708,5,4,1,25
 .Sons of the Harpy.Barristan Selmy.Sons of the Harpy,0,5,4,1,1
 .Sons of the Harpy.Fighting pit announcer,1017,5,9,1,1
 .Sons of the Harpy.Hizdahr zo Loraq,484,5,9,1,8
 .Sons of the Harpy.Second Son,707,5,4,1,1
 .Sons of the Harpy.White Rat,912,5,1,1,1
 .The silver,1001,2,1,1,7
 .Tommard Baratheon,55,1,0,1,1
 .Tommen Baratheon,56,6,10,1,24
 .Tormund,843,0,0,0,25
 .Tormund.Lord of Bones,486,5,8,1,4
 .Tormund.Mole's Town citizens,0,4,8,1,1
 .Tormund.Smalljon Umber,883,6,9,1,2
 .Tormund.Smalljon Umber.Shaggydog,715,6,3,1,9
 .Tormund.Smalljon Umber.Shaggydog.Unnamed Wildling,0,3,9,1,1
 .Tormund.Smalljon Umber.Unnamed Northern men,0,6,9,1,1
 .Tormund.Unnamed Bolton men,0,6,9,1,1
 .Tormund.Unnamed Night's Watch,0,4,9,1,1
 .Tormund.Unnamed Night's Watch,715,6,2,1,1
 .Tormund.Villagers,0,4,3,1,1
 .Tormund.Wights,0,5,8,1,1
 .Tormund.Wights,0,7,6,1,1
 .Tyrion Lannister,461,0,0,0,54
 .Tyrion Lannister.Baratheon officer,36,2,9,1,1
 .Tyrion Lannister.Shae,713,4,10,1,20
 .Tyrion Lannister.Son of the Harpy,0,5,9,1,1
 .Tyrion Lannister.Tywin Lannister,463,4,10,1,27
 .Tyrion Lannister.Tywin Lannister.Unnamed Baratheon men,0,2,9,1,1
 .Tyrion Lannister.Unnamed Hill tribesman,0,1,5,1,1
 .Unnamed Bolton men,0,0,0,0,1
 .Unnamed Bolton men.Baratheon General,35,5,10,1,2
 .Unnamed Bolton men.Baratheon soldier,37,5,10,1,2
 .Unnamed Frey men,0,0,0,0,1
 .Unnamed Frey men.Grey Wind,324,3,9,1,9
 .Unnamed Frey men.Grey Wind.Lannister guardsman,441,2,4,1,1
 .Unnamed Frey men.Grey Wind.Rennick,663,2,4,1,1
 .Unnamed Frey men.Wendel Manderly,512,3,9,1,1
 .Unnamed Goldcloak,0,0,0,0,1
 .Unnamed Goldcloak.Varly,893,1,7,1,1
 .Unnamed Hill tribesmen,0,0,0,0,1
 .Unnamed Hill tribesmen.Kurleket,431,1,5,1,2
 .Unnamed Hill tribesmen.Willis Wode,941,1,5,1,2
 .Unnamed Lannister men,0,0,0,0,1
 .Unnamed Lannister men.Brynden Tully,851,6,8,1,7
 .Unnamed Lannister men.Heward,350,1,5,1,0
 .Unnamed Lannister men.Mordane,551,1,8,1,7
 .Unnamed Lannister men.Vayon Poole,630,1,8,1,1
 .Unnamed Lannister men.Wyl,945,1,5,1,0
 .Unnamed Night's Watch,0,0,0,0,1
 .Unnamed Night's Watch.Dongo,189,4,9,1,3
 .Unnamed Night's Watch.Mag Mar Tun Doh Weg,501,4,9,1,1
 .Unnamed Night's Watch.Mag Mar Tun Doh Weg.Cooper,151,4,9,1,1
 .Unnamed Night's Watch.Mag Mar Tun Doh Weg.Donnel Hill,190,4,9,1,1
 .Unnamed Night's Watch.Mag Mar Tun Doh Weg.Grenn,322,4,9,1,22
 .Unnamed Night's Watch.Mag Mar Tun Doh Weg.Grenn.Nights Watch betrayer,0,4,5,1,1
 .Unnamed rioters,0,0,0,0,1
 .Unnamed rioters.Aron Santagar,701,2,6,1,1
 .Unnamed rioters.High Septon,354,2,6,1,2
 .Unnamed Unsullied,0,0,0,0,1
